RA,FASE_NUM,TEMPO_PROGRAMA,DEFASAGEM_ANALISE,STATUS_DEFASAGEM_2024,IDA,IEG,IAA_MODELO,IPS,IPP,IPV,INDE_2024,PEDRA_2024,PROB_RISCO_2025,RANK_RISCO_2025,PERCENTIL_RISCO_2025,RANK_RISCO_FASE_2025,PERCENTIL_RISCO_FASE_2025,PRIORIDADE_2025,PERFIL_RADAR,RISCO_OCULTO,PONTO_CEGO,STATUS_MODELO
RA-638,2,3,0,Sem defasagem,5.0,5.7272727275,8.502,7.51,8.125,5.936666667,6.7464878789,Ágata,0.9037080907835752,96,90.99,22,88.65,Muito alta,Risco oculto,True,False,Elegível
RA-1425,1,0,-1,Com defasagem,7.0,6.7976190475,9.002,7.51,7.34375,5.92,6.8290988095000005,Ágata,0.9024022082527736,97,90.89,24,87.57,Muito alta,Crítico persistente,False,False,Elegível
RA-1015,2,1,0,Sem defasagem,4.0,7.8214285715,7.918,7.51,6.041666667,5.66,6.643252381000002,Ágata,0.9018321074390374,98,90.8,23,88.11,Muito alta,Risco oculto,True,False,Elegível
RA-1548,3,0,0,Sem defasagem,4.833333333333333,5.242165242,8.334,7.51,7.5,5.665,6.482499715066667,Ágata,0.9016449497273642,99,90.7,23,89.57,Muito alta,Risco oculto,True,False,Elegível
RA-1346,0,0,0,Sem defasagem,5.5,8.0595238095,9.502,7.51,6.25,6.66,7.3701047619,Ametista,0.9004417818902406,100,90.61,28,86.22,Muito alta,Risco oculto,True,True,Elegível
RA-971,0,1,-1,Com defasagem,6.75,7.909090909,7.418,7.51,7.5,6.085,6.8916181818,Ágata,0.9001818861907813,101,90.51,29,85.71,Muito alta,Crítico persistente,False,False,Elegível
RA-956,1,1,-1,Com defasagem,3.25,6.017786561,9.502,6.885,7.083333333,7.085,6.1175906455,Ágata,0.8998782873411325,102,90.42,25,87.03,Muito alta,Crítico persistente,False,False,Elegível
RA-1460,2,0,0,Sem defasagem,3.25,7.460526316,9.502,7.51,6.875,6.27,6.784805263200001,Ágata,0.8974443911428455,103,90.32,24,87.57,Muito alta,Risco oculto,True,False,Elegível
RA-681,1,2,-1,Com defasagem,2.5,7.840909091,9.502,6.26,5.625,6.665,6.0398818182000005,Ágata,0.8961273821044788,104,90.23,26,86.49,Muito alta,Crítico persistente,False,False,Elegível
RA-1518,3,2,-1,Com defasagem,1.75,5.714285714333333,7.084,9.38,7.65625,6.5825,5.721382142866666,Quartzo,0.8951521872490533,105,90.13,24,89.1,Muito alta,Crítico persistente,False,False,Elegível
