RA,PEDRA_2022,PEDRA_2023,PEDRA_2024,PEDRA_ORDEM_2022,PEDRA_ORDEM_2023,PEDRA_ORDEM_2024,DELTA_PEDRA_22_23,DELTA_PEDRA_23_24,DELTA_PEDRA_22_24,MOVIMENTO_22_24
RA-684,Topázio,Ametista,Ametista,4,3.0,3.0,-1.0,0.0,-1.0,Recuo
RA-686,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-687,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-688,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-690,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-693,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-696,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-698,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-699,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-700,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-702,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-704,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-705,Ágata,Ágata,Quartzo,2,2.0,1.0,0.0,-1.0,-1.0,Recuo
RA-706,Ametista,Ametista,Quartzo,3,3.0,1.0,0.0,-2.0,-2.0,Recuo
RA-707,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
RA-709,Quartzo,Ágata,Ágata,1,2.0,2.0,1.0,0.0,1.0,Avanço
RA-710,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-712,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-713,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-714,Ágata,Ágata,Quartzo,2,2.0,1.0,0.0,-1.0,-1.0,Recuo
RA-715,Ágata,Quartzo,Quartzo,2,1.0,1.0,-1.0,0.0,-1.0,Recuo
RA-716,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-718,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-719,Quartzo,Ágata,Ametista,1,2.0,3.0,1.0,1.0,2.0,Avanço
RA-721,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-725,Ágata,Topázio,Ametista,2,4.0,3.0,2.0,-1.0,1.0,Avanço
RA-727,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-729,Topázio,Ametista,Ágata,4,3.0,2.0,-1.0,-1.0,-2.0,Recuo
RA-730,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-731,Ametista,Ágata,Quartzo,3,2.0,1.0,-1.0,-1.0,-2.0,Recuo
RA-733,Ágata,Topázio,Topázio,2,4.0,4.0,2.0,0.0,2.0,Avanço
RA-735,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-737,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-738,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-740,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-741,Ágata,Ágata,Quartzo,2,2.0,1.0,0.0,-1.0,-1.0,Recuo
RA-743,Ágata,Ágata,Ametista,2,2.0,3.0,0.0,1.0,1.0,Avanço
RA-745,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-746,Ametista,Ágata,Ametista,3,2.0,3.0,-1.0,1.0,0.0,Manutenção
RA-747,Ametista,Ágata,Quartzo,3,2.0,1.0,-1.0,-1.0,-2.0,Recuo
RA-748,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-749,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-750,Ágata,Quartzo,Quartzo,2,1.0,1.0,-1.0,0.0,-1.0,Recuo
RA-752,Topázio,Topázio,Ágata,4,4.0,2.0,0.0,-2.0,-2.0,Recuo
RA-753,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-754,Ágata,Ágata,Quartzo,2,2.0,1.0,0.0,-1.0,-1.0,Recuo
RA-755,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-756,Ágata,Ametista,Ametista,2,3.0,3.0,1.0,0.0,1.0,Avanço
RA-757,Topázio,Topázio,Ametista,4,4.0,3.0,0.0,-1.0,-1.0,Recuo
RA-760,Topázio,Ágata,Ágata,4,2.0,2.0,-2.0,0.0,-2.0,Recuo
RA-761,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-762,Ametista,Ametista,Quartzo,3,3.0,1.0,0.0,-2.0,-2.0,Recuo
RA-763,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
RA-764,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-767,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-768,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-769,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-770,Topázio,Ágata,Ametista,4,2.0,3.0,-2.0,1.0,-1.0,Recuo
RA-771,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-773,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-774,Ametista,Quartzo,Quartzo,3,1.0,1.0,-2.0,0.0,-2.0,Recuo
RA-776,Quartzo,Quartzo,Quartzo,1,1.0,1.0,0.0,0.0,0.0,Manutenção
RA-777,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-778,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-780,Ágata,Ametista,Ametista,2,3.0,3.0,1.0,0.0,1.0,Avanço
RA-781,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-782,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-784,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-785,Ametista,Topázio,Topázio,3,4.0,4.0,1.0,0.0,1.0,Avanço
RA-787,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-788,Topázio,Ametista,Ametista,4,3.0,3.0,-1.0,0.0,-1.0,Recuo
RA-789,Ametista,Ametista,Topázio,3,3.0,4.0,0.0,1.0,1.0,Avanço
RA-790,Ametista,Ágata,Ágata,3,2.0,2.0,-1.0,0.0,-1.0,Recuo
RA-792,Ágata,Ametista,Ágata,2,3.0,2.0,1.0,-1.0,0.0,Manutenção
RA-794,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-795,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-796,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-797,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-798,Ametista,Ametista,Quartzo,3,3.0,1.0,0.0,-2.0,-2.0,Recuo
RA-799,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-801,Ágata,Ágata,Ágata,2,2.0,2.0,0.0,0.0,0.0,Manutenção
RA-802,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-805,Topázio,Ágata,Ágata,4,2.0,2.0,-2.0,0.0,-2.0,Recuo
RA-806,Ametista,Ametista,Ágata,3,3.0,2.0,0.0,-1.0,-1.0,Recuo
RA-807,Topázio,Ametista,Ametista,4,3.0,3.0,-1.0,0.0,-1.0,Recuo
RA-808,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
RA-810,Ametista,Ametista,Ametista,3,3.0,3.0,0.0,0.0,0.0,Manutenção
RA-814,Ametista,Topázio,Ametista,3,4.0,3.0,1.0,-1.0,0.0,Manutenção
RA-816,Topázio,Topázio,Topázio,4,4.0,4.0,0.0,0.0,0.0,Manutenção
