RA,FASE_NUM,TEMPO_PROGRAMA,IDA,IEG,IAA_MODELO,IPS,IPV,PROB_RISCO_2025,RANK_RISCO_2025,PERCENTIL_RISCO_2025,RANK_RISCO_FASE_2025,PERCENTIL_RISCO_FASE_2025,PRIORIDADE_2025,STATUS_MODELO,MOTIVO_NAO_ELEGIBILIDADE
RA-1493,2,0,4.0,7.8468899525,8.502,7.51,5.946666667,0.8911466719393293,109,89.75,25,87.03,Alta,Elegível,
RA-752,2,2,5.75,7.525879916999999,9.502,7.51,5.613333333,0.8901791511265115,110,89.66,26,86.49,Alta,Elegível,
RA-1031,1,1,6.25,8.6363636365,9.502,7.51,5.83,0.8891894608554208,111,89.56,27,85.95,Alta,Elegível,
RA-1550,3,0,4.333333333333333,5.222222222,9.585,7.51,6.2025,0.8864455753203327,112,89.47,26,88.15,Alta,Elegível,
RA-1366,0,0,6.5,6.6032608695,9.002,7.51,6.99,0.8859184299360888,113,89.37,32,84.18,Alta,Elegível,
RA-1517,3,0,4.666666666666667,4.305555555666667,9.168,9.38,6.7075,0.8846760876529508,114,89.28,27,87.68,Alta,Elegível,
RA-1143,3,3,3.1666666666666665,5.201336675,9.585,9.38,6.79,0.8830911286272801,115,89.18,28,87.2,Alta,Elegível,
RA-1111,3,1,5.0,4.600414078666667,6.249,7.5,5.824,0.8826346244154731,116,89.09,29,86.73,Alta,Elegível,
RA-771,0,2,6.5,6.619047619,8.502,3.135,6.08,0.8813805630571275,117,88.99,33,83.67,Alta,Elegível,
RA-1339,0,0,8.75,10.0,8.502,6.885,5.33,0.8800199805119757,118,88.9,34,83.16,Alta,Elegível,
RA-1342,0,0,9.0,9.761904762,9.502,7.51,5.575,0.8794278360738027,119,88.8,35,82.65,Alta,Elegível,
RA-1524,3,0,4.0,2.777777777666667,7.917,7.51,6.9175,0.8784082823536061,120,88.71,30,86.26,Alta,Elegível,
RA-1496,2,0,4.25,5.714285714500001,9.002,7.51,6.773333333,0.8764334049823498,121,88.61,27,85.95,Alta,Elegível,
RA-1359,0,0,6.0,9.0,8.502,5.635,6.17,0.8762578810413749,122,88.52,36,82.14,Alta,Elegível,
RA-925,0,1,4.75,7.005347594,8.002,7.51,7.33,0.8759375929721488,123,88.43,37,81.63,Alta,Elegível,
RA-862,0,1,7.5,8.6136363635,9.002,7.51,6.27,0.874677228627549,124,88.33,38,81.12,Alta,Elegível,
RA-390,3,2,4.166666666666667,6.080701754333333,7.5,8.755,6.08,0.8745697478502131,125,88.24,31,85.78,Alta,Elegível,
RA-1355,0,0,7.0,6.5227272725,10.002,7.51,7.17,0.8742352854951597,126,88.14,39,80.61,Alta,Elegível,
RA-949,0,1,6.5,8.7857142855,9.002,7.51,6.495,0.8741860313837246,127,88.05,40,80.1,Alta,Elegível,
RA-1049,1,1,4.5,8.03030303,9.502,7.51,6.745,0.8707673516988446,128,87.95,28,85.41,Alta,Elegível,
RA-626,3,3,5.333333333333333,3.380451127666667,9.585,6.885,6.443333333,0.8705250083264661,129,87.86,32,85.31,Alta,Elegível,
RA-1551,3,0,3.5,4.771043771,9.585,7.51,6.79,0.8704108925129355,130,87.76,33,84.83,Alta,Elegível,
RA-514,2,2,3.0,7.595238095,9.002,4.385,5.996666667,0.868804935974496,131,87.67,28,85.41,Alta,Elegível,
RA-656,3,3,4.166666666666667,5.978431372666667,9.168,7.51,6.106666667,0.8686765498362423,132,87.57,34,84.36,Alta,Elegível,
